niveau,genre,sentiment_global,confiance_adultes,sentiment_securite,participation_projets,liberte_expression,ecoute_et_soutien,envie_venir,relation_famille_etab,confiance_dialogue_extrait,projets_participes,lieux_expression_libre,changements_souhaites,moments_agreables,moments_desagreables,lieux_agreables,lieux_desagreables,cluster_kmeans
4e,Garçon,2,2,2,1,1,1,1,1,[],['art et culture'],[],[],['la cour'],['classe'],['exterieur'],['salle de classe'],2
6e,Garçon,2,1,3,1,1,1,0,2,['souplesse'],['sport'],[],['permanence'],[],"[""cours d'histoire-géo""]",[],[],1
6e,Garçon,2,1,2,2,1,1,1,1,[],['projet pédagogiques'],[],"['foot', 'balles']",['bonnes notes'],['mauvaises notes'],"['terrain', 'la cour']",['toilettes'],2
4e,Fille,2,2,2,3,1,0,1,1,[],"['sport', 'art et culture', 'MUN']",[],[],[],[],"['médiathèque', 'tables']",['couloirs'],2
5e,Fille,1,2,3,2,2,1,1,2,[],"['MUN', 'art et culture', 'sport']",['la cour'],[],['récréation'],['classe'],"['médiathèque', 'salle de classe', 'extérieur']",['salle de classe'],2
5e,Fille,2,2,2,1,1,1,1,3,[],['projet pédagogiques'],[],"['climatisation', 'horaires']",[],[],[],[],2
4e,Garçon,3,2,2,1,2,2,2,3,"['calme', 'dialogue']",['MUN'],['aucun'],['horaire'],[],[],"['terrain', 'gymnase']",[],0
6e,Fille,2,1,3,1,1,1,2,2,[],['art et culture'],[],['film'],['manger'],['classe'],['portaille'],[],3
5e,Fille,3,1,3,2,2,2,3,2,[],[],[],[],[],[],[],[],0
5e,Garçon,2,1,1,1,1,1,2,1,"['justice', 'compréhension', 'respect']",['sport'],['bureau'],"['balles', 'foot']","['récréation', 'pause', ""cours d'histoire-géo""]",[],['fontaine'],[],3
6e,Fille,3,3,3,0,2,2,3,3,[],[],['salle de classe'],[],[],[],['classe'],[],0
5e,Garçon,2,1,0,1,1,0,0,2,"['liberté', 'souplesse']",['sport'],['aucun'],"['classe', 'pause', 'prof', 'salle de classe']",['sport'],['classe'],['recrée'],"['permanence', 'salle de cours']",1
6e,Garçon,2,1,2,2,2,1,0,2,['compréhension'],['projet pédagogiques'],[],['heure'],"['échecs', 'calme']",[],['ccc'],[],2
4e,Fille,3,2,3,2,2,3,2,2,[],"[""vie de l'établissement""]",[],[],['la cour'],['classe'],['la cour'],"['cantine', 'permanence']",0
6e,Fille,2,2,1,2,3,2,2,3,['calme'],['MUN'],[],"['organisation', 'évaluation', 'stress', 'horaires', 'sommeil']","['avec mes amies', 'pas de stress']","['évaluation', 'stress']",['la cour'],['permanences'],0
5e,Garçon,2,1,2,1,0,0,0,1,['aucun'],['sport'],['aucun'],['nourriture'],"['sport', 'foot']",['cantine'],[],[],1
6e,Garçon,2,1,1,1,2,2,1,2,['aucun'],[],['salle de classe'],['la cour'],['amies'],['classe'],['la cour'],['classe'],3
5e,Fille,1,3,3,1,2,3,2,3,[],['projet pédagogiques'],[],['aucun'],['pause'],[],[],[],0
5e,Fille,2,2,3,2,2,2,2,2,[],['sport'],['cpe'],[],[],[],[],[],0
4e,Fille,2,3,3,1,2,2,2,3,['communication'],"['MUN', 'projet pédagogiques']",['salle de classe'],['horaire'],"['récréation', 'amies']","['évaluation', 'stressantes']","['salle de classe', 'espace']",[],0
4e,Fille,3,1,3,2,2,1,2,2,"['écoute', 'confiance', 'respect']",['sport'],"['cpe', 'prof']",['aucun'],"['as', 'profs de sports', 'amis']",['journées à 17h'],['terrains'],[],0
4e,Garçon,0,1,2,0,0,0,0,0,[],[],[],['horaires'],"['chez moi', 'famille']",['école'],[],[],1
4e,Garçon,2,1,2,2,0,1,2,1,['aucun'],"['sport', 'projet pédagogiques']",[],['sanctions'],[],[],[],[],2
4e,Garçon,1,0,0,2,1,2,0,2,"['freedom', 'respect']",['projet pédagogiques'],['recess'],['système'],['summer vacation'],['school time'],['house'],['school'],1
5e,Fille,2,2,1,1,0,1,0,2,[],['art et culture'],[],"['classe', 'évaluation']",['rentrer chez moi'],['travailler'],['la cour'],[],1
5e,Fille,2,1,1,2,1,1,1,3,[],[],[],[],[],[],[],[],2
5e,Fille,2,1,0,2,2,1,1,2,[],['art et culture'],[],"['eau', 'autorisation']",['cantine'],[],['cantine'],[],2
5e,Garçon,2,0,2,3,0,1,0,2,[],[],['aucun'],['liberté'],[],['mauvaise notes'],[],[],1
3e,Fille,3,1,3,2,3,2,2,2,[],"['MUN', 'environnement et solidarité', 'art et culture']",['la cour'],"['pc', 'pause']",['pause'],['certains cours'],"['classe', 'salle de classe']",['salle de classe'],0
